name,diet,period_description,period,period_from,period_to,lived_in,type,length,taxonomy,named_description,named_by,named_year,species,link
Gasparinisaura,herbivorous,Late Cretaceous 86-71 million years ago,Late Cretaceous,86,71,Argentina,euornithopod,0.8,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Coria and Salgado (1996),Coria and Salgado,1996,cincosaltensis,https://www.nhm.ac.uk/discover/dino-directory/gasparinisaura.html
Gastonia,herbivorous,Early Cretaceous 142-127 million years ago,Early Cretaceous,142,127,USA,armoured dinosaur,4.6,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,Kirkland (1998),Kirkland,1998,burgei,https://www.nhm.ac.uk/discover/dino-directory/gastonia.html
Giganotosaurus,carnivorous,Early Cretaceous 112-90 million years ago,Early Cretaceous,112,90,Argentina,large theropod,12.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,Coria and Salgado (1995),Coria and Salgado,1995,carolinii,https://www.nhm.ac.uk/discover/dino-directory/giganotosaurus.html
Gilmoreosaurus,herbivorous,Late Cretaceous 76-70 million years ago,Late Cretaceous,76,70,China,euornithopod,6.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Brett-Surman (1979),Brett-Surman,1979,mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/gilmoreosaurus.html
Giraffatitan,herbivorous,Late Jurassic 154-142 million years ago,Late Jurassic,154,142,Tanzania,sauropod,23.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Brachiosauridae,Janensch (1914),Janensch,1914,brancai,https://www.nhm.ac.uk/discover/dino-directory/giraffatitan.html
Gobisaurus,herbivorous,Early Cretaceous 121-99 million years ago,Early Cretaceous,121,99,China,armoured dinosaur,5.0,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Vickaryous Russell Currie and Zhao (2001),Vickaryous Russell Currie and Zhao,2001,domoculus,https://www.nhm.ac.uk/discover/dino-directory/gobisaurus.html
Gorgosaurus,carnivorous,Late Cretaceous 80-73 million years ago,Late Cretaceous,80,73,USA,large theropod,8.6,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Albertosaurinae,Lamb (1914),Lamb,1914,libratus,https://www.nhm.ac.uk/discover/dino-directory/gorgosaurus.html
Goyocephale,herbivorous,Late Cretaceous 81-75 million years ago,Late Cretaceous,81,75,Mongolia,large theropod,2.0,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala,Perle Maryańska and Osmólska (1982),Perle Maryańska and Osmólska,1982,lattimorei,https://www.nhm.ac.uk/discover/dino-directory/goyocephale.html
Graciliceratops,herbivorous,Late Cretaceous 99-84 million years ago,Late Cretaceous,99,84,Mongolia,ceratopsian,,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,Sereno (2000),Sereno,2000,mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/graciliceratops.html
Gryposaurus,herbivorous,Late Cretaceous 86-71 million years ago,Late Cretaceous,86,71,USA,euornithopod,10.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Lambe (1914),Lambe,1914,notabilis,https://www.nhm.ac.uk/discover/dino-directory/gryposaurus.html
Guaibasaurus,herbivorous,Late Triassic 221-210 million years ago,Late Triassic,221,210,Brazil,small theropod,1.8,Dinosauria Saurischia Theropoda,Bonaparte Ferigolo and Ribeiro (1999),Bonaparte Ferigolo and Ribeiro,1999,candelariensis,https://www.nhm.ac.uk/discover/dino-directory/guaibasaurus.html
Guanlong,carnivorous,Late Jurassic 159-154 million years ago,Late Jurassic,159,154,China,small theropod,3.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Xu Clark Forster Norell Erickson Eberth Jia and Zhao (2006),Xu Clark Forster Norell Erickson Eberth Jia and Zhao,2006,wucaii,https://www.nhm.ac.uk/discover/dino-directory/guanlong.html
Hadrosaurus,herbivorous,Late Cretaceous 78-74 million years ago,Late Cretaceous,78,74,USA,euornithopod,9.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Leidy (1858),Leidy,1858,foulkii,https://www.nhm.ac.uk/discover/dino-directory/hadrosaurus.html
Hagryphus,omnivorous,Late Cretaceous 84-71 million years ago,Late Cretaceous,84,71,USA,small theropod,3.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria,Zanno and Sampson (2005),Zanno and Sampson,2005,giganteus,https://www.nhm.ac.uk/discover/dino-directory/hagryphus.html
Haplocanthosaurus,herbivorous,Late Jurassic 154-142 million years ago,Late Jurassic,154,142,USA,sauropod,21.5,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Camarasauridae,Hatcher (1903),Hatcher,1903,priscus,https://www.nhm.ac.uk/discover/dino-directory/haplocanthosaurus.html
Harpymimus,omnivorous,Early Cretaceous 121-99 million years ago,Early Cretaceous,121,99,Mongolia,small theropod,2.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,Barsbold and Perle (1984),Barsbold and Perle,1984,okladnikovi,https://www.nhm.ac.uk/discover/dino-directory/harpymimus.html
Herrerasaurus,carnivorous,Late Triassic 228 million years ago,Late Triassic,228,228,Argentina,small theropod,3.0,Dinosauria Saurischia Theropoda Herrerasauridae,Reig (1963),Reig,1963,ischigualastensis,https://www.nhm.ac.uk/discover/dino-directory/herrerasaurus.html
Hesperosaurus,herbivorous,Late Jurassic 154-142 million years ago,Late Jurassic,154,142,USA,armoured dinosaur,6.0,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Carpenter Miles and Cloward (2001),Carpenter Miles and Cloward,2001,mjosi,https://www.nhm.ac.uk/discover/dino-directory/hesperosaurus.html
Heterodontosaurus,herbivorous,Early Jurassic 205 million years ago,Early Jurassic,205,205,South Africa,euornithopod,1.2,Dinosauria Ornithischia Genasauria Cerapoda Heterodontosauridae,Crompton and Charig (1962),Crompton and Charig,1962,tucki,https://www.nhm.ac.uk/discover/dino-directory/heterodontosaurus.html
Heyuannia,omnivorous,Late Cretaceous 72-68 million years ago,Late Cretaceous,72,68,Mongolia,small theropod,2.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae,Barsbold (1981),Barsbold,1981,yanshini,https://www.nhm.ac.uk/discover/dino-directory/heyuannia.html
Homalocephale,herbivorous,Late Cretaceous 72-68 million years ago,Late Cretaceous,72,68,Mongolia,euornithopod,1.5,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea,Maryańska and Osmólska (1974),Maryańska and Osmólska,1974,calathocercos,https://www.nhm.ac.uk/discover/dino-directory/homalocephale.html
Huayangosaurus,herbivorous,Mid Jurassic 170-160 million years ago,Mid Jurassic,170,160,China,armoured dinosaur,4.5,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Huayangosauridae,Dong Tang and Zhou (1982),Dong Tang and Zhou,1982,taibaii,https://www.nhm.ac.uk/discover/dino-directory/huayangosaurus.html
Hylaeosaurus,herbivorous,Early Cretaceous 150-135 million years ago,Early Cretaceous,150,135,United Kingdom,armoured dinosaur,5.0,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,Mantell (1833),Mantell,1833,armatus,https://www.nhm.ac.uk/discover/dino-directory/hylaeosaurus.html
