name,diet,period_description,period,period_from,period_to,lived_in,type,length,taxonomy,named_description,named_by,named_year,species,link
Mapusaurus,carnivorous,Late Cretaceous 99-94 million years ago,Late Cretaceous,99,94,Argentina,large theropod,13.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae Charcharodontosauridae Giganotosaurinae,Coria and Currie (2006),Coria and Currie,2006,roseae,https://www.nhm.ac.uk/discover/dino-directory/mapusaurus.html
Marshosaurus,carnivorous,Late Jurassic 154-142 million years ago,Late Jurassic,154,142,USA,large theropod,6.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda,Madsen (1976),Madsen,1976,bicentesimus,https://www.nhm.ac.uk/discover/dino-directory/marshosaurus.html
Masiakasaurus,carnivorous,Late Cretaceous 84-71 million years ago,Late Cretaceous,84,71,Madagascar,small theropod,2.0,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauroidea Abelisauria,Sampson Carrano &amp; Forster (2001),Sampson Carrano &amp; Forster,2001,knopfleri,https://www.nhm.ac.uk/discover/dino-directory/masiakasaurus.html
Massospondylus,omnivorous,Early Jurassic 208-204 million years ago,Early Jurassic,208,204,Zimbabwe,sauropod,4.0,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,Owen (1854),Owen,1854,carinatus,https://www.nhm.ac.uk/discover/dino-directory/massospondylus.html
Maxakalisaurus,herbivorous,Late Cretaceous 80 million years ago,Late Cretaceous,80,80,Brazil,sauropod,13.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae Saltasaurinae,Kellner et al. (2006),Kellner et al.,2006,topai,https://www.nhm.ac.uk/discover/dino-directory/maxakalisaurus.html
Megalosaurus,carnivorous,Mid Jurassic 170-155 million years ago,Mid Jurassic,170,155,United Kingdom,large theropod,9.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,Ritgen (1826),Ritgen,1826,bucklandii,https://www.nhm.ac.uk/discover/dino-directory/megalosaurus.html
Melanorosaurus,omnivorous,Late Triassic 227-221 million years ago,Late Triassic,227,221,South Africa,sauropod,12.0,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Melanorosauridae,Haughton (1924),Haughton,1924,readi,https://www.nhm.ac.uk/discover/dino-directory/melanorosaurus.html
Metriacanthosaurus,carnivorous,Late Jurassic 159-154 million years ago,Late Jurassic,159,154,United Kingdom,large theropod,8.2,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae,Walker (1964),Walker,1964,parkeri,https://www.nhm.ac.uk/discover/dino-directory/metriacanthosaurus.html
Microceratus,herbivorous,Late Cretaceous 86-66 million years ago,Late Cretaceous,86,66,Mongolia,ceratopsian,0.5,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,Bohlin (1953),Bohlin,1953,gobiensis,https://www.nhm.ac.uk/discover/dino-directory/microceratus.html
Micropachycephalosaurus,herbivorous,Late Cretaceous 84-71 million years ago,Late Cretaceous,84,71,China,ceratopsian,0.6,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria,Dong (1978),Dong,1978,hongtuyanensis,https://www.nhm.ac.uk/discover/dino-directory/micropachycephalosaurus.html
Microraptor,carnivorous,Early Cretaceous 125-122 million years ago,Early Cretaceous,125,122,China,small theropod,0.8,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Xu Zhou and Wang (2000),Xu Zhou and Wang,2000,zhaoianus,https://www.nhm.ac.uk/discover/dino-directory/microraptor.html
Minmi,herbivorous,Early Cretaceous 121-112 million years ago,Early Cretaceous,121,112,Australia,armoured dinosaur,3.0,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,Molnar (1980),Molnar,1980,paravertebra,https://www.nhm.ac.uk/discover/dino-directory/minmi.html
Monolophosaurus,carnivorous,Mid Jurassic 180-159 million years ago,Mid Jurassic,180,159,China,large theropod,5.7,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria,Zhao and Currie (1993),Zhao and Currie,1993,jiangi,https://www.nhm.ac.uk/discover/dino-directory/monolophosaurus.html
Mononykus,unknown,Late Cretaceous 81-68 million years ago,Late Cretaceous,81,68,Mongolia,small theropod,1.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,Perle Norell Chiappe and Clark (1993),Perle Norell Chiappe and Clark,1993,olecranus,https://www.nhm.ac.uk/discover/dino-directory/mononykus.html
Mussaurus,herbivorous,Late Triassic 221-210 million years ago,Late Triassic,221,210,Argentina,sauropod,3.0,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,Bonaparte and Vince (1979),Bonaparte and Vince,1979,patagonicus,https://www.nhm.ac.uk/discover/dino-directory/mussaurus.html
Muttaburrasaurus,herbivorous,Early Cretaceous 110-100 million years ago,Early Cretaceous,110,100,Australia,euornithopod,7.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Bartholomai and Molnar (1981),Bartholomai and Molnar,1981,langdoni,https://www.nhm.ac.uk/discover/dino-directory/muttaburrasaurus.html
Nanshiungosaurus,omnivorous,Late Cretaceous 84-71 million years ago,Late Cretaceous,84,71,China,large theropod,4.4,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,Dong (1979),Dong,1979,brevispinus,https://www.nhm.ac.uk/discover/dino-directory/nanshiungosaurus.html
Nedoceratops,herbivorous,Late Cretaceous 67-65 million years ago,Late Cretaceous,67,65,USA,ceratopsian,7.0,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Lull (1905),Lull,1905,hatcheri,https://www.nhm.ac.uk/discover/dino-directory/nedoceratops.html
Nemegtosaurus,herbivorous,Late Cretaceous 72-68 million years ago,Late Cretaceous,72,68,Mongolia,sauropod,13.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Nemegtosauridae,Nowinski (1971),Nowinski,1971,mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/nemegtosaurus.html
Neovenator,carnivorous,Early Cretaceous 127-121 million years ago,Early Cretaceous,127,121,United Kingdom,large theropod,7.4,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,Hutt Martill and Barker (1996),Hutt Martill and Barker,1996,salerii,https://www.nhm.ac.uk/discover/dino-directory/neovenator.html
Neuquenosaurus,herbivorous,Late Cretaceous 71-65 million years ago,Late Cretaceous,71,65,Argentina,sauropod,10.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae,Lydekker (1893),Lydekker,1893,australis,https://www.nhm.ac.uk/discover/dino-directory/neuquenosaurus.html
Nigersaurus,herbivorous,Early Cretaceous 121-99 million years ago,Early Cretaceous,121,99,Tunisia,sauropod,15.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Rebbachisauridae,Sereno Beck Dutheil Larsson Lyon Moussa Sadleir Sidor Varricchio Wilson &amp; Wilson (1999),Sereno Beck Dutheil Larsson Lyon Moussa Sadleir Sidor Varricchio Wilson &amp; Wilson,1999,taqueti,https://www.nhm.ac.uk/discover/dino-directory/nigersaurus.html
Nipponosaurus,herbivorous,Late Cretaceous 89-84 million years ago,Late Cretaceous,89,84,Russia,euornithopod,,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Nagao (1936),Nagao,1936,sachalinensis,https://www.nhm.ac.uk/discover/dino-directory/nipponosaurus.html
Noasaurus,carnivorous,Late Cretaceous 84-65 million years ago,Late Cretaceous,84,65,Argentina,small theropod,1.0,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauroidea Abelisauria,Bonaparte and Powell (1980),Bonaparte and Powell,1980,leali,https://www.nhm.ac.uk/discover/dino-directory/noasaurus.html
Nodosaurus,herbivorous,Early Cretaceous 110-100 million years ago,Early Cretaceous,110,100,USA,armoured dinosaur,5.0,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Marsh (1889),Marsh,1889,textilis,https://www.nhm.ac.uk/discover/dino-directory/nodosaurus.html
Nomingia,omnivorous,Late Cretaceous 72-68 million years ago,Late Cretaceous,72,68,Mongolia,small theropod,1.6,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Caenagnathidae,Barsbold Osmólska Watabe Currie and Tsogtbaatar (2000),Barsbold Osmólska Watabe Currie and Tsogtbaatar,2000,gobiensis,https://www.nhm.ac.uk/discover/dino-directory/nomingia.html
Nothronychus,omnivorous,Late Cretaceous 94-89 million years ago,Late Cretaceous,94,89,USA,large theropod,5.3,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,Kirkland and Wolfe (2001),Kirkland and Wolfe,2001,mckinleyi,https://www.nhm.ac.uk/discover/dino-directory/nothronychus.html
Nqwebasaurus,carnivorous,Mid Jurassic 159-132 million years ago,Mid Jurassic,159,132,South Africa,small theropod,1.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,de Klerk Forster Sampson Chinsamy and Ross (2000),de Klerk Forster Sampson Chinsamy and Ross,2000,thwazi,https://www.nhm.ac.uk/discover/dino-directory/nqwebasaurus.html
Omeisaurus,herbivorous,Mid Jurassic 169-159 million years ago,Mid Jurassic,169,159,China,sauropod,20.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Young (1939),Young,1939,junghsiensis,https://www.nhm.ac.uk/discover/dino-directory/omeisaurus.html
Opisthocoelicaudia,herbivorous,Late Cretaceous 72-68 million years ago,Late Cretaceous,72,68,Mongolia,sauropod,12.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae,Borsuk-Bialynicka  (1977),Borsuk-Bialynicka,1977,skarzynskii,https://www.nhm.ac.uk/discover/dino-directory/opisthocoelicaudia.html
Ornitholestes,carnivorous,Late Jurassic 150-144 million years ago,Late Jurassic,150,144,USA,small theropod,2.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,Osbourne (1933),Osbourne,1933,hermanni,https://www.nhm.ac.uk/discover/dino-directory/ornitholestes.html
Ornithomimus,omnivorous,Late Cretaceous 74-65 million years ago,Late Cretaceous,74,65,USA,large theropod,4.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Marsh (1890),Marsh,1890,velox,https://www.nhm.ac.uk/discover/dino-directory/ornithomimus.html
Orodromeus,herbivorous,Late Cretaceous 74 million years ago,Late Cretaceous,74,74,USA,euornithopod,2.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Horner and Weishampel (1988),Horner and Weishampel,1988,makelai,https://www.nhm.ac.uk/discover/dino-directory/orodromeus.html
Oryctodromeus,herbivorous,Late Cretaceous 99-94 million years ago,Late Cretaceous,99,94,USA,euornithopod,2.1,Dinosauria Ornithischia,Varricchio Marin and Katsura (2007),Varricchio Marin and Katsura,2007,cubicularis,https://www.nhm.ac.uk/discover/dino-directory/oryctodromeus.html
Othnielia,herbivorous,Late Jurassic 154-142 million years ago,Late Jurassic,154,142,USA,euornithopod,1.4,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Marsh (1877),Marsh,1877,rex,https://www.nhm.ac.uk/discover/dino-directory/othnielia.html
Ouranosaurus,herbivorous,Early Cretaceous 115-100 million years ago,Early Cretaceous,115,100,Niger,euornithopod,7.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Taquet (1976),Taquet,1976,nigeriensis,https://www.nhm.ac.uk/discover/dino-directory/ouranosaurus.html
Oviraptor,omnivorous,Late Cretaceous 85-75 million years ago,Late Cretaceous,85,75,Mongolia,small theropod,2.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,Osborn (1924),Osborn,1924,philoceratops,https://www.nhm.ac.uk/discover/dino-directory/oviraptor.html
Pachycephalosaurus,herbivorous,Late Cretaceous 76-65 million years ago,Late Cretaceous,76,65,USA,euornithopod,8.0,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,Brown and Schlaikjer (1943),Brown and Schlaikjer,1943,wyomingensis,https://www.nhm.ac.uk/discover/dino-directory/pachycephalosaurus.html
Pachyrhinosaurus,herbivorous,Late Cretaceous 76-74 million years ago,Late Cretaceous,76,74,Canada,ceratopsian,6.0,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Sternberg (1950),Sternberg,1950,canadensis,https://www.nhm.ac.uk/discover/dino-directory/pachyrhinosaurus.html
Panoplosaurus,herbivorous,Late Cretaceous 79-75 million years ago,Late Cretaceous,79,75,USA,armoured dinosaur,7.0,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Lambe (1919),Lambe,1919,mirus,https://www.nhm.ac.uk/discover/dino-directory/panoplosaurus.html
Pantydraco,herbivorous,Early Jurassic 208-200 million years ago,Early Jurassic,208,200,Wales,euornithopod,3.0,Dinosauria Saurischia,Galton Yates and Kermack 2007 (2003),Galton Yates and Kermack 2007,2003,caducus,https://www.nhm.ac.uk/discover/dino-directory/pantydraco.html
Paralititan,herbivorous,Late Cretaceous 99-94 million years ago,Late Cretaceous,99,94,Egypt,sauropod,28.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,Smith Lamanna Lacovara Dodson Smith Poole Giegengack and Attia (2001),Smith Lamanna Lacovara Dodson Smith Poole Giegengack and Attia,2001,stromeri,https://www.nhm.ac.uk/discover/dino-directory/paralititan.html
Parasaurolophus,herbivorous,Late Cretaceous 76-74 million years ago,Late Cretaceous,76,74,USA,euornithopod,11.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Parks (1922),Parks,1922,walkeri,https://www.nhm.ac.uk/discover/dino-directory/parasaurolophus.html
Parksosaurus,herbivorous,Late Cretaceous 76-74 million years ago,Late Cretaceous,76,74,Canada,euornithopod,3.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Sternberg (1937),Sternberg,1937,warrenae,https://www.nhm.ac.uk/discover/dino-directory/parksosaurus.html
Patagosaurus,herbivorous,Mid Jurassic 164-159 million years ago,Mid Jurassic,164,159,Argentina,sauropod,18.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Cetiosauridae,Bonaparte (1979),Bonaparte,1979,fariasi,https://www.nhm.ac.uk/discover/dino-directory/patagosaurus.html
Pelicanimimus,carnivorous,Early Cretaceous 127-121 million years ago,Early Cretaceous,127,121,Spain,small theropod,2.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,Pérez-Moreno Sanz Buscalioni Moratalla Ortega and Rasskin-Gutman (1994),Pérez-Moreno Sanz Buscalioni Moratalla Ortega and Rasskin-Gutman,1994,polyodon,https://www.nhm.ac.uk/discover/dino-directory/pelicanimimus.html
Pelorosaurus,herbivorous,Early Cretaceous 125 million years ago,Early Cretaceous,125,125,United Kingdom,sauropod,25.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes,Mantell (1850),Mantell,1850,conybearei,https://www.nhm.ac.uk/discover/dino-directory/pelorosaurus.html
Pentaceratops,herbivorous,Late Cretaceous 76-74 million years ago,Late Cretaceous,76,74,USA,ceratopsian,6.8,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Osborn (1923),Osborn,1923,sternbergi,https://www.nhm.ac.uk/discover/dino-directory/pentaceratops.html
Piatnitzkysaurus,carnivorous,Late Jurassic 164-159 million years ago,Late Jurassic,164,159,Argentina,large theropod,4.2,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,Bonaparte (1979),Bonaparte,1979,floresi,https://www.nhm.ac.uk/discover/dino-directory/piatnitzkysaurus.html
Pinacosaurus,herbivorous,Late Cretaceous 81-75 million years ago,Late Cretaceous,81,75,Mongolia,armoured dinosaur,5.0,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Gilmore (1933),Gilmore,1933,grangeri,https://www.nhm.ac.uk/discover/dino-directory/pinacosaurus.html
Plateosaurus,herbivorous,Late Triassic 210 million years ago,Late Triassic,210,210,Switzerland,sauropod,7.0,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,Meyer (1837),Meyer,1837,engelhardti,https://www.nhm.ac.uk/discover/dino-directory/plateosaurus.html
Podokesaurus,carnivorous,Mid Jurassic 195-180 million years ago,Mid Jurassic,195,180,USA,small theropod,0.9,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea,Talbot (1911),Talbot,1911,holyokensis,https://www.nhm.ac.uk/discover/dino-directory/podokesaurus.html
Poekilopleuron,carnivorous,Mid Jurassic 169-164 million years ago,Mid Jurassic,169,164,France,large theropod,9.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,Eudes-Deslongchamps (1838),Eudes-Deslongchamps,1838,bucklandii,https://www.nhm.ac.uk/discover/dino-directory/poekilopleuron.html
Polacanthus,herbivorous,Early Cretaceous 125 million years ago,Early Cretaceous,125,125,United Kingdom,armoured dinosaur,5.0,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,Hulke (1881),Hulke,1881,foxii,https://www.nhm.ac.uk/discover/dino-directory/polacanthus.html
Prenocephale,herbivorous,Late Cretaceous 80-65 million years ago,Late Cretaceous,80,65,Mongolia,euornithopod,2.4,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,Maryańska and Osmólska (1974),Maryańska and Osmólska,1974,prenes,https://www.nhm.ac.uk/discover/dino-directory/prenocephale.html
Probactrosaurus,herbivorous,Early Cretaceous 121-99 million years ago,Early Cretaceous,121,99,China,euornithopod,6.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Rozhdestvensky (1966),Rozhdestvensky,1966,gobiensis,https://www.nhm.ac.uk/discover/dino-directory/probactrosaurus.html
Proceratosaurus,carnivorous,Mid Jurassic 169-164 million years ago,Mid Jurassic,169,164,United Kingdom,small theropod,4.1,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,Woodward (1910),Woodward,1910,bradleyi,https://www.nhm.ac.uk/discover/dino-directory/proceratosaurus.html
Procompsognathus,carnivorous,Late Triassic 221-210 million years ago,Late Triassic,221,210,Germany,small theropod,1.0,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea,Fraas (1913),Fraas,1913,triassicus,https://www.nhm.ac.uk/discover/dino-directory/procompsognathus.html
Prosaurolophus,herbivorous,Late Cretaceous 77-75 million years ago,Late Cretaceous,77,75,USA,euornithopod,7.6,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Brown (1916),Brown,1916,maximus,https://www.nhm.ac.uk/discover/dino-directory/prosaurolophus.html
Protarchaeopteryx,carnivorous,Early Cretaceous 122-120 million years ago,Early Cretaceous,122,120,China,small theropod,2.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora,Ji and Ji (1997),Ji and Ji,1997,robusta,https://www.nhm.ac.uk/discover/dino-directory/protarchaeopteryx.html
Protoceratops,herbivorous,Late Cretaceous 74-70 million years ago,Late Cretaceous,74,70,Mongolia,ceratopsian,1.8,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,Granger and Gregory (1923),Granger and Gregory,1923,andrewsi,https://www.nhm.ac.uk/discover/dino-directory/protoceratops.html
Protohadros,herbivorous,Late Cretaceous 99-94 million years ago,Late Cretaceous,99,94,USA,euornithopod,6.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Head (1998),Head,1998,byrdi,https://www.nhm.ac.uk/discover/dino-directory/protohadros.html
Psittacosaurus,herbivorous,Early Cretaceous 120-100 million years ago,Early Cretaceous,120,100,Russia,ceratopsian,2.0,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Psittacosauridae,Osborn (1923),Osborn,1923,mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/psittacosaurus.html
Quaesitosaurus,herbivorous,Late Cretaceous 86-84 million years ago,Late Cretaceous,86,84,Mongolia,sauropod,23.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Nemegtosauridae,Kurzanov and Bannikov (1983),Kurzanov and Bannikov,1983,orientalis,https://www.nhm.ac.uk/discover/dino-directory/quaesitosaurus.html
Rebbachisaurus,herbivorous,Early Cretaceous 112-99 million years ago,Early Cretaceous,112,99,Morocco,sauropod,20.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Rebbachisauridae,Lavocat (1954),Lavocat,1954,garasbae,https://www.nhm.ac.uk/discover/dino-directory/rebbachisaurus.html
Rhabdodon,herbivorous,Late Cretaceous 76-70 million years ago,Late Cretaceous,76,70,Spain,euornithopod,4.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Rhabdodontidae,Matherton (1869),Matherton,1869,priscus,https://www.nhm.ac.uk/discover/dino-directory/rhabdodon.html
Rhoetosaurus,herbivorous,Mid Jurassic 177-169 million years ago,Mid Jurassic,177,169,Australia,sauropod,15.0,Dinosauria Saurischia Sauropodomorpha Sauropoda,Longman (1926),Longman,1926,brownei,https://www.nhm.ac.uk/discover/dino-directory/rhoetosaurus.html
Rinchenia,omnivorous,Late Cretaceous 72-68 million years ago,Late Cretaceous,72,68,Mongolia,small theropod,2.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,Barsbold (1986),Barsbold,1986,mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/rinchenia.html
Riojasaurus,herbivorous/omnivorous,Late Triassic 221-210 million years ago,Late Triassic,221,210,Argentina,sauropod,5.15,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Melanorosauridae,Bonaparte (1969),Bonaparte,1969,incertus,https://www.nhm.ac.uk/discover/dino-directory/riojasaurus.html
Rugops,carnivorous,Late Cretaceous 95 million years ago,Late Cretaceous,95,95,Niger,large theropod,7.0,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,Sereno Wilson and Conrad (2004),Sereno Wilson and Conrad,2004,primus,https://www.nhm.ac.uk/discover/dino-directory/rugops.html
Saichania,herbivorous,Late Cretaceous 80 million years ago,Late Cretaceous,80,80,Mongolia,armoured dinosaur,6.6,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Maryañska (1977),Maryañska,1977,chulsanensis,https://www.nhm.ac.uk/discover/dino-directory/saichania.html
Saltasaurus,herbivorous,Late Cretaceous 70-65 million years ago,Late Cretaceous,70,65,Argentina,sauropod,12.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae,Bonaparte and Powell (1980),Bonaparte and Powell,1980,loricatus,https://www.nhm.ac.uk/discover/dino-directory/saltasaurus.html
Saltopus,carnivorous,Late Triassic 221-210 million years ago,Late Triassic,221,210,United Kingdom,small theropod,,Dinosauria,Huene (1910),Huene,1910,elginensis,https://www.nhm.ac.uk/discover/dino-directory/saltopus.html
Sarcosaurus,carnivorous,Early Jurassic 202-195 million years ago,Early Jurassic,202,195,United Kingdom,small theropod,3.0,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria,Andrews (1921),Andrews,1921,woodi,https://www.nhm.ac.uk/discover/dino-directory/sarcosaurus.html
Saurolophus,herbivorous,Late Cretaceous 74-70 million years ago,Late Cretaceous,74,70,Mongolia,euornithopod,9.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Brown (1912),Brown,1912,osborni,https://www.nhm.ac.uk/discover/dino-directory/saurolophus.html
Sauropelta,herbivorous,Early Cretaceous 121-94 million years ago,Early Cretaceous,121,94,USA,armoured dinosaur,6.5,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Ostrom (1970),Ostrom,1970,edwardsorum,https://www.nhm.ac.uk/discover/dino-directory/sauropelta.html
Saurophaganax,carnivorous,Late Jurassic 154-142 million years ago,Late Jurassic,154,142,USA,large theropod,12.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae,Chure (1996),Chure,1996,maximus,https://www.nhm.ac.uk/discover/dino-directory/saurophaganax.html
